name,adjoe,adjde,barthag,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,127.4130532712,95.178049810631,0.96624783463859,7–3,7,10,56.6,47.9,31.3,28.7,15.3,16.8,38.5,28.6,64.1,53.4,48.2,40.9,31.5,8.7,11.5,53.9,47.7,39.8,30.1,64.1,,,,2024,,,,1.2,69.6,63.1
"Bowling Green",97.49803,104.59115,0.30840048792178,4–6,4,10,43.8,50.1,32.3,26.4,17.7,17,33.2,23.5,66.4,45.9,47.4,26.1,36.3,8,9.6,39.6,47.1,31.1,37.6,66.7,,,,2024,,,,-5,78,71.8
UCLA,111.32034084247,101.26342408339,0.74817401047783,4–6,4,10,47.4,52.9,31.5,36.5,14.1,16.6,27.9,30.3,62.5,45.3,51.6,34.4,36.4,9.3,6.5,42.8,53.1,32.8,40.7,61.7,,,,2024,,,,-1.9,74.6,66.1
Pacific,94.34700698999,121.92992190495,0.0497663153249,0–10,0,10,44.6,57.3,39.8,34.9,15.1,14.1,20.3,36.6,68.2,42.6,58.5,32.7,36.9,6.2,10.3,53.9,55.4,30.7,39,68,,,,2024,,,,-7.3,66.5,77.3
"Texas A&M",123.98467,98.27361,0.93539201021235,6–4,6,10,47.6,53.5,39.1,31.9,12.4,15.5,39,25.9,70,45.3,56.7,34.3,33.2,9.7,11.4,45.2,62.2,36.9,47,69.8,,,,2024,,,,1.6,73,69.3
"North Texas",111.87793,103.1454,0.71800563193786,5–5,5,10,50.9,52.8,29.5,41.8,14.8,18.4,30.6,29.5,65.7,47.8,50,37.2,38.6,7.7,13.6,46.1,45.4,38.6,35.2,64.6,,,,2024,,,,-2,76.9,73.9
Nevada,120.35820758787,99.816905458475,0.89586020197873,7–3,7,10,56.2,50.5,42.8,37,16.7,15.5,26.8,24.9,65.3,52.9,51.1,40.7,33,9.1,5.8,65.1,59.5,40.3,38.8,66.5,,,,2024,,,,0.9,75.7,73.4
UTSA,105.10452622526,108.09627308349,0.42000097169815,3–7,3,10,46.7,48.4,34.6,29.9,16.2,12.2,32.2,27.9,69.8,44.4,48.3,33,32.5,10.4,13.2,49.6,48.7,45.6,36.5,71.1,,,,2024,,,,-4.4,68.9,73.5
"Mississippi Valley St.",88.875828053925,114.29024128332,0.052537442407006,1–9,1,10,45.3,51.7,34,41.8,20.2,18.4,27.7,34.1,65.8,42.4,49.2,33,37.9,8,10.2,52.4,49.6,40,32.5,64.3,,,,2024,,,,-8.5,70.5,72.8
"Gardner Webb",102.21126866128,106.8780605745,0.37438833226834,6–4,6,10,50.1,48.9,38,29.8,18.2,14,31.9,28.5,68.5,46.2,48.3,37.9,33.5,6.8,11.1,51.6,47,36.6,32.9,68.9,,,,2024,,,,-2.8,59.5,73.9
